id,tajik
38,"Ба гуфтаи онҳо, бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт, ки ин амр ба коҳиши муҳоҷирати корӣ ба Русия кумак мекунад"
39, Мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли Тоҷикистон низ муассир арзёбӣ мекунанд
40,"Раиси ҷумҳурии Тоҷикистон зимни ифтитоҳи ин тарҳ аз бозаргонон ва сармоядорони маҳаллӣ хостааст, ки дар бунёди шаҳри ҷадид, боғу токзорҳои атрофи он ва таъсиси корхонаю муассисот дар он ҷо саҳм гузоранд ва ""ҳам худ манфиъат бардоранд ва ҳам барои дигарон ҷойҳои корӣ муҳайё созанд"
41,"""Ин нахустин тарҳи бунёди шаҳре ҷадид дар даврони истиқлоли Тоҷикистон аст"
42," Ҳазинаи бунёди ин шаҳр эълом нашуда, вале мақомот мегӯянд, оғози ин тарҳ дар соли 2015, ки соли поёнии даҳаи байналмилалии ""Об барои ҳаёт"" аст, нумоде аз пешрафту ободонии ин кишвар маҳсуб мешавад"
43,"Барномаи даҳаи ""Об барои ҳаёт"", ки аз ҳимояти Созмони Милали Муттаҳид бархурдор аст, бо пешниҳоди давлати Тоҷикистон ба иҷро расида ва тобистони имсол ҳамоише байналмилалӣ дар мавриди натиҷагирӣ аз он бо ширкати намояндагони беш аз 100 кишвар дар шаҳри Душанбе баргузор мешавад"
44,"Эмомалӣ Раҳмон, раиси ҷумҳурии Тоҷикистон, бо ширкат дар маросиме ба сохтмони шаҳре ҷадид дар вилояти Суғд, дар шимоли ин кишвар, поя гузошта ва пешниҳод карда, ки ин шаҳр Сайҳун хонда шавад"
45,"Сайҳун номи арабӣ ва куҳантари Сирдарё, рӯдест, ки аз кӯҳистони Тиёншон сарчашма мегирад ва ба дарёчаи Хоразм ё Орол мерезад"
46," Ин рӯд аз васати шаҳри Хуҷанд, маркази устони Суғди Тоҷикистон, мегузарад"
47,"Ба гуфтаи манобеъи расмӣ, шаҳри мудерни Сайҳун дар минтақаи мавсум ба Мирзоравот ва дашти Сомғор дар шаҳристони Бобоҷон Ғафуруф, дар нуҳкилуметрии шимол-ғарби шаҳри Хуҷанд, бунёд хоҳад шуд"
48,"Сойти риёсати ҷумҳурии Тоҷикистон дар ин бора менивисад: ""Бояд таъкид намуд, ки оғоз бахшидан ба сохтмони шаҳри нав дар солҳои истиқлоли давлатии Тоҷикистон бори нахуст сурат мегирад ва ин бозгӯй аз баромадани кишвар ба сатҳи сифатан нави рушди иқтисодӣ мебошад"
49,"""Ин манбаъ меафзояд, ки ин ""тадбири калонмиқёс"" бо суфориши оқои Раҳмон ва дар чорчӯби ""сиёсати бунёдкорию созандагии"" давлати Тоҷикистон анҷом мешавад"
50," Тибқи нақша, қарор аст дар ин шаҳр беш аз 40 ҳазор хонавода ё беш аз 250 ҳазор нафар аз ҷамъияти шаҳри Хуҷанд ва навоҳии атрофи он сукунат гузинанд"
51,"Сойти риёсати ҷумҳурии Тоҷикистон дар бораи зарурати бунёди шаҳре ҷадид дар шимоли ин кишвар менивисад: ""Солҳои охир аҳолии шаҳру ноҳияҳои Хуҷанд, Бобоҷон Ғафуров, Ашт, Қайроққум, Чкалов ва Мастчоҳ хеле афзуда, шумораашон ба зиёда аз 700 ҳазор расидааст ва зарурати бунёди маҳаллаҳои нави аҳолинишн, аз ҷумла бо биноҳои бисёрошёнаи муъосир ба миён омадааст"
52,"""Оқои Раҳмон хишти аввали нахустин биноҳои маскуниеро, ки аз 9 то 12 табақа хоҳанд буд, дар маҳалли бунёди шаҳри ҷадид гузоштааст"
53," Ин шаҳр аз 19 қасаба ё маҳалла иборат хоҳад буд ва дар он 17 мадраса, 31 кӯдакистон, 140 фурӯшгоҳу мағоза, 40 майдонча ва толори варзишӣ, як поёна (терминол)-и мусофирбарӣ, бозор ва дигар таъсисоти иҷтимоъӣ сохта мешаванд"
54,"Ба гуфтаи манобеъи расмӣ, ин мавзеъ дорои 14 ҳазор ҳектор замини бикр аст, ки дар чорчӯби тарҳи бунёди шаҳри ҷадид обёрӣ ва дар се ҳазор ҳектор аз он маҳаллоти маскунӣ сохта мешаванд"
55, Дар марҳилаи нахуст як ҳазор ҳектор аз ин заминҳо таҳти пӯшиш қарор хоҳанд гирифт
56,Барои обёрии ин заминҳо ду пойгоҳи обрасонӣ сохта ва сохтмони як пойгоҳи дигар дар назар гирифта шудааст
57, Оқои Раҳмон ин ду пойгоҳро ифтитоҳ карда ва бори нахуст обро ба заминҳои бикр ҷорӣ кардааст
58,Қарор аст дар 1000 ҳектор аз заминҳои атрофи шаҳри Сайҳун боғҳои зардолую сияҳолу ва шафтолую бодом бунёд шаванд
59," Мақомҳои тоҷик мегӯянд, бунёди ин боғҳо, ки ба хотири сарфаҷӯии об ба шеваи қатраӣ шодоб мешаванд, барои содироти мева муҳим аст"
60,"Ба гуфтаи онҳо, бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт, ки ин амр ба коҳиши муҳоҷирати корӣ ба Русия кумак мекунад"
61, Мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли Тоҷикистон низ муассир арзёбӣ мекунанд
62,"Раиси ҷумҳурии Тоҷикистон зимни ифтитоҳи ин тарҳ аз бозаргонон ва сармоядорони маҳаллӣ хостааст, ки дар бунёди шаҳри ҷадид, боғу токзорҳои атрофи он ва таъсиси корхонаю муассисот дар он ҷо саҳм гузоранд ва ""ҳам худ манфиъат бардоранд ва ҳам барои дигарон ҷойҳои корӣ муҳайё созанд"
63,"""Ин нахустин тарҳи бунёди шаҳре ҷадид дар даврони истиқлоли Тоҷикистон аст"
64," Ҳазинаи бунёди ин шаҳр эълом нашуда, вале мақомот мегӯянд, оғози ин тарҳ дар соли 2015, ки соли поёнии даҳаи байналмилалии ""Об барои ҳаёт"" аст, нумоде аз пешрафту ободонии ин кишвар маҳсуб мешавад"
65,"Барномаи даҳаи ""Об барои ҳаёт"", ки аз ҳимояти Созмони Милали Муттаҳид бархурдор аст, бо пешниҳоди давлати Тоҷикистон ба иҷро расида ва тобистони имсол ҳамоише байналмилалӣ дар мавриди натиҷагирӣ аз он бо ширкати намояндагони беш аз 100 кишвар дар шаҳри Душанбе баргузор мешавад"
66,"Эмомалӣ Раҳмон, раиси ҷумҳурии Тоҷикистон, бо ширкат дар маросиме ба сохтмони шаҳре ҷадид дар вилояти Суғд, дар шимоли ин кишвар, поя гузошта ва пешниҳод карда, ки ин шаҳр Сайҳун хонда шавад"
67,"Сайҳун номи арабӣ ва куҳантари Сирдарё, рӯдест, ки аз кӯҳистони Тиёншон сарчашма мегирад ва ба дарёчаи Хоразм ё Орол мерезад"
68," Ин рӯд аз васати шаҳри Хуҷанд, маркази устони Суғди Тоҷикистон, мегузарад"
69,"Ба гуфтаи манобеъи расмӣ, шаҳри мудерни Сайҳун дар минтақаи мавсум ба Мирзоравот ва дашти Сомғор дар шаҳристони Бобоҷон Ғафуруф, дар нуҳкилуметрии шимол-ғарби шаҳри Хуҷанд, бунёд хоҳад шуд"
70,"Сойти риёсати ҷумҳурии Тоҷикистон дар ин бора менивисад: ""Бояд таъкид намуд, ки оғоз бахшидан ба сохтмони шаҳри нав дар солҳои истиқлоли давлатии Тоҷикистон бори нахуст сурат мегирад ва ин бозгӯй аз баромадани кишвар ба сатҳи сифатан нави рушди иқтисодӣ мебошад"
71,"""Ин манбаъ меафзояд, ки ин ""тадбири калонмиқёс"" бо суфориши оқои Раҳмон ва дар чорчӯби ""сиёсати бунёдкорию созандагии"" давлати Тоҷикистон анҷом мешавад"
72," Тибқи нақша, қарор аст дар ин шаҳр беш аз 40 ҳазор хонавода ё беш аз 250 ҳазор нафар аз ҷамъияти шаҳри Хуҷанд ва навоҳии атрофи он сукунат гузинанд"
73,"Сойти риёсати ҷумҳурии Тоҷикистон дар бораи зарурати бунёди шаҳре ҷадид дар шимоли ин кишвар менивисад: ""Солҳои охир аҳолии шаҳру ноҳияҳои Хуҷанд, Бобоҷон Ғафуров, Ашт, Қайроққум, Чкалов ва Мастчоҳ хеле афзуда, шумораашон ба зиёда аз 700 ҳазор расидааст ва зарурати бунёди маҳаллаҳои нави аҳолинишн, аз ҷумла бо биноҳои бисёрошёнаи муъосир ба миён омадааст"
74,"""Оқои Раҳмон хишти аввали нахустин биноҳои маскуниеро, ки аз 9 то 12 табақа хоҳанд буд, дар маҳалли бунёди шаҳри ҷадид гузоштааст"
75," Ин шаҳр аз 19 қасаба ё маҳалла иборат хоҳад буд ва дар он 17 мадраса, 31 кӯдакистон, 140 фурӯшгоҳу мағоза, 40 майдонча ва толори варзишӣ, як поёна (терминол)-и мусофирбарӣ, бозор ва дигар таъсисоти иҷтимоъӣ сохта мешаванд"
76,"Ба гуфтаи манобеъи расмӣ, ин мавзеъ дорои 14 ҳазор ҳектор замини бикр аст, ки дар чорчӯби тарҳи бунёди шаҳри ҷадид обёрӣ ва дар се ҳазор ҳектор аз он маҳаллоти маскунӣ сохта мешаванд"
77, Дар марҳилаи нахуст як ҳазор ҳектор аз ин заминҳо таҳти пӯшиш қарор хоҳанд гирифт
78,Барои обёрии ин заминҳо ду пойгоҳи обрасонӣ сохта ва сохтмони як пойгоҳи дигар дар назар гирифта шудааст
79, Оқои Раҳмон ин ду пойгоҳро ифтитоҳ карда ва бори нахуст обро ба заминҳои бикр ҷорӣ кардааст
80,Қарор аст дар 1000 ҳектор аз заминҳои атрофи шаҳри Сайҳун боғҳои зардолую сияҳолу ва шафтолую бодом бунёд шаванд
81," Мақомҳои тоҷик мегӯянд, бунёди ин боғҳо, ки ба хотири сарфаҷӯии об ба шеваи қатраӣ шодоб мешаванд, барои содироти мева муҳим аст"
82,"Ба гуфтаи онҳо, бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт, ки ин амр ба коҳиши муҳоҷирати корӣ ба Русия кумак мекунад"
83, Мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли Тоҷикистон низ муассир арзёбӣ мекунанд
84,"Раиси ҷумҳурии Тоҷикистон зимни ифтитоҳи ин тарҳ аз бозаргонон ва сармоядорони маҳаллӣ хостааст, ки дар бунёди шаҳри ҷадид, боғу токзорҳои атрофи он ва таъсиси корхонаю муассисот дар он ҷо саҳм гузоранд ва ""ҳам худ манфиъат бардоранд ва ҳам барои дигарон ҷойҳои корӣ муҳайё созанд"
85,"""Ин нахустин тарҳи бунёди шаҳре ҷадид дар даврони истиқлоли Тоҷикистон аст"
86," Ҳазинаи бунёди ин шаҳр эълом нашуда, вале мақомот мегӯянд, оғози ин тарҳ дар соли 2015, ки соли поёнии даҳаи байналмилалии ""Об барои ҳаёт"" аст, нумоде аз пешрафту ободонии ин кишвар маҳсуб мешавад"
87,"Барномаи даҳаи ""Об барои ҳаёт"", ки аз ҳимояти Созмони Милали Муттаҳид бархурдор аст, бо пешниҳоди давлати Тоҷикистон ба иҷро расида ва тобистони имсол ҳамоише байналмилалӣ дар мавриди натиҷагирӣ аз он бо ширкати намояндагони беш аз 100 кишвар дар шаҳри Душанбе баргузор мешавад"
