id,tajik,farsi
28,"Оқои Раҳмон дар ин бора гуфт: “Ин консепсия бояд ба бунёди ҷомеаи муосири демократӣ, ҳуқуқбунёд ва дунявӣ мусоидат намояд ва ояндаи рушди кишвари моро муайян гардонад", برای انجام این کار رئیس جمهور تاجیکستان دستور داده است که فرهنگستان علوم تاجیکستان و مرکز پژوهشهای استراتژیک برای تهیه یک چنین کنسپسیون یک گروه کاری ویژه عبارت از عالمان و دانشمندان تاسیس بدهند و لایحه کنسپسیون را به دولت پیشنهاد کنند  .
29,”Президент Раҳмон ҳамзамон самтҳои аслии ин кунсепсиюнро ба зиёиён худ пешниҳод кард, آقای رحمان در این باره گفت : این کنسپسیون باید به بنیاد جامعه معاصر دموکراتی ، حقوقبنیاد و دنیوی مساعدت نماید و آینده رشد کشور ما را معین گرداند  .
30," Ӯ гуфт, ки ин санад бояд дар панҷ самти, 1) ислоҳоти маъориф, 2) тавсеъаи воқеъии илм, 3) тарғиби тарбия дар ҳамаи радифҳои ҷомеъа, 4) баланд бардоштани мақоми забони давлатӣ ва устувор намудани ғояҳои миллӣ ва 5) таблиғи зидди ифротгароӣ ва таҳкими ҳифзи озодиҳои инсон авлавият қоил бошад", پرزیدنت رحمان همزمان سمتهای اصلی این کنسپسیون را به ضیائیان خود پیشنهاد کرد  .
31,"Чунин ба назар мерасад, ки ҷилавгирӣ аз густариши мафкураи ифротгароёна, дар меҳвари даъвати раиси ҷумҳури кишвар аз зиёиён қарор дошт", او گفت که این سند باید در پنج سمت ، 1 ) اصلاحات معارف ( آموزش و پرورش )، 2 ) توسعه واقعی علم ، 3 ) ترغیب تربیه در همه ردیفهای جامعه ، 4 ) بلند برداشتن مقام زبان دولتی و استوار نمودن غایه‌‌های ملی و 5 ) تبلیغ ضد افراطگرایی و تحکیم حفظ آزادیهای انسان اولویت قائل باشد  .
32,"Оқои Раҳмон ҳамчунин аз зиёиён хост то “барои рушди устувори ҷомеа ва таҳкими пояҳои давлатдории миллӣ пешниҳодҳои мушаххас ва таҳлилҳои саривақтӣ манзур намоянд, то мо барои пешгирӣ намудани ҳар гуна равандҳои носолим омода бошем ва ҳифзи манфиатҳои Тоҷикистони азизро таъмин гардонем", چنین به نظر می‌رسد که جلوگیری از گسترش مفکوره افراطگرایانه ، در محور دعوت رئیس جمهور کشور از ضیائیان قرار داشت  .
33,"”Оқои Раҳмон афзуд: “Мо бояд ойини мадоро ва таҳаммулгароиро, ки дар фарҳангу мафкураи халқамон асрҳо боз идома меёбад, риоя намоем", آقای رحمان همچنین از ضیائیان خواست تا برای رشد استوار جامعه و تحکیم پایه‌های دولتداری ملی پیشنهادهای مشخص و تحلیلهای سروقتی منظور نمایند ، تا ما برای پیشگیری نمودن هر گونه روندهای ناسالم آماده باشیم و حفظ منفعتهای تاجیکستان عزیز را تامین گردانیم  .
34,"”Раиси ҷумҳури Тоҷикистон аз зиёиён ба хусус адибони тоҷик хостааст, ки ба таҳияи мақолаҳои публисистӣ даст зананд то “мардумро аз рӯйдодҳои кишвар, дастовардҳои диёри азизамон, масъалаҳои рӯз ва хатарҳои даҳшатбори замонаи ноором огоҳ созанд", آقای رحمان افزود : ما باید آیین مدا را و تحملگرایی را که در فرهنگ و مفکوره خلقمان عصرها باز ادامه‌ می‌یابد ، رعایه نماییم  .
35," Инчунин, камбудиҳои ҳаёти ҷамъиятӣ, хусусан гаравидани ҷавонон ба ҷараёнҳои ифротӣ ва сабабҳои чунин тамоюли хатарнокро ошкор карда, оқибатҳои даҳшатбори онро ба оммаи васеъ фаҳмонед", رئیس جمهور تاجیکستان از ضیائیان به خصوص ادیبان تاجیک خواسته است که به تهیه مقاله‌های تبلیغاتی دست زنند تا مردم را از رویدادهای کشور ، دستاوردهای دیار عزیزمان ، مسئله‌های روز و خطرهای دهشتبار زمانه ناآرام آگاه سازند  .
36,”, اینچنین ، کمبودیهای حیات جمعیتی ، خصوصا گرویدن جوانان به جریانهای افراطی و سببهای چنین تمایل خطرناک را آشکار کرده ، عاقبتهای دهشتبار آن را به عامه وسیع فهمانید  .
37,"Вазорати умури хориҷаи Омрико таъйид карда, ки давлати Борок Убомо дар бораи иттиҳоми тарҳи терури сафири Арабистон дар Вошингтун тавассути Эрон, ба таври мустақим бо мақомҳои Ҷумҳурии Исломӣ тамос барқарор кардааст",وزارت امور خارجه آمریکا تایید کرده که دولت باراک اوباما درباره اتهام طرح ترور سفیر عربستان در واشنگتن توسط ایران ، به‌طور مستقیم با مقام‌های جمهوری اسلامی تماس برقرار کرده است  .
38,"Ин суханон дар ҳоле баён шуд, ки Борок Убомо, раиси ҷумҳурии Иёлоти Муттаҳида, эълом карда, ки мақомҳои Эронро масъули ин моҷаро медонад ва аз эҳтимоли дар назар гирифтани таҳримҳои шадидтаре алайҳи Теҳрон хабар додааст"," دولت ایران این اتهام را که نیروی قدس سپاه پاسداران قصد داشته است که عادل الجبیر ، سفیر عربستان سعودی در واشنگتن را در یک بمبگذاری ترور کند ، قویا رد و آنرا یک "" بازی کودکانه "" توصیف می‌کند  ."
39,"Вазорати хазонадории Омрико рӯзи чаҳоршанбе ширкати ҳавопаймоии ""Моҳонэйр""-ро ба иттиҳоми ҳамкорӣ бо нерӯи Қудси Сипоҳи посдорон таҳрим кард"," ویکتوریا نولاند ، سخنگوی وزارت امور خارجه ایالات متحده ، پنجشنبه ( 13 اکتبر / 21 مهر ) به خبرنگاران گفت : "" ما با ایران تماس مستقیم داشته ایم  ."
40,"Шабакаи Си-би-эси Омрико ба нақл аз мақомҳои ин кишвар, ки хостаанд ношинос боқӣ бимонанд, гузориш медиҳад, ки Сӯзон Ройс, сафири Иёлоти Муттаҳида дар Созмони Милали Муттаҳид бо диплумотҳои эронӣ дар Ню-Йурк дидор кардааст", من جزئیات بیشتری در این باره به شما نخواهم داد اما فقط بگویم که ما درباره این مساله با ایران تماس مستقیم داشته ایم  .
41,Мақомҳои эронӣ ҳанӯз ба ин гузориш вокуниш нишон надодаанд,""" این سخنان در حالی بیان شد که باراک اوباما ، رئیس جمهوری ایالات متحده ، اعلام کرده که مقام‌های ایران را مسوول این ماجرا می‌داند و از احتمال در نظر گرفتن تحریم‌های شدیدتری علیه تهران خبر داده است  ."
42,Ҳушдори Борок УбомоРаиси ҷумҳурии Омрико панҷшанбе дар мавриди сиҳҳати иддаъои дахолати Эрон дар тавтеъаи терури сафири Арабистони Саъудӣ дар Вошингтун ибрози итминон кард, وزارت خزانه‌داری آمریکا روز چهارشنبه شرکت هواپیمایی ماهان ایر را به اتهام همکاری با نیروی قدس سپاه پاسداران تحریم کرد  .
43,"Борок Убомо ваъда дод, ки таҳримҳои шадидтаре барои инзивои ҳарчи бештари мақомҳои эронӣ эъмол кунад", شبکه سی بی‌اس آمریکا به نقل از مقام‌های این کشور که خواسته‌اند ناشناس باقی بمانند گزارش می‌دهد که سوزان رایس ، سفیر ایالات متحده در سازمان ملل متحد ، با دیپلمات‌های ایرانی در نیویورک دیدار کرده است  .
44,"Ӯ, ки дар як конфронси хабарӣ сӯҳбат мекард, гуфт, ки ҳеҷ гузинаеро дар бархӯрд бо Эрон канор нахоҳад гузошт", مقام‌های ایرانی هنوز به این گزارش واکنش نشان نداده‌اند  .
45,"Борок Убомо гуфт: ""Мо бар ин боварем, ки ҳатто агар дар болотарин сутуҳ аз ҷузъиёти амалиётӣ огоҳ набуданд, боз ҳам ҳар шахсе, ки дар давлати Эрон ба чунин фаъолиятҳое даст мезанад, бояд посухгӯ бошад", هشدار باراک اوبامارئیس جمهوری آمریکا پنجشنبه در مورد صحت ادعای دخالت ایران در توطئه ترور سفیر عربستان سعودی در واشنگتن ابراز اطمینان کرد  .
46,"""Девид Куҳен, аз мақомҳои аршади вазорати хазонадории Иёлоти Муттаҳида, гуфтааст, ки давлати Борок Убомо барои афзоиши фишори иқтисодӣ бар Эрон тамоми гузинаҳо, аз ҷумла таҳрими байналмилалии бонки марказии ин кишварро мадди назар дорад", باراک اوباما وعده داد که تحریم‌های شدیدتری برای انزوای هر چه بیشتر مقام‌های ایرانی اعمال کند  .
47,"Вокуниши раҳбари ЭронИзҳороти раиси ҷумҳури Омрико, соъоте пас аз он унвон шуд, ки Оятуллоҳ Алии Хоменаӣ, раҳбари Ҷумҳурии Исломии Эрон, дар тозатарин суханони худ гуфт пружаҳои такрории омрикоиҳо алайҳи Эрон шикаст хоҳад хӯрд", او که در یک کنفرانس خبری صحبت می‌کرد گفت که هیچ گزینه‌ای را در برخورد با ایران کنار نخواهد گذاشت  .
48,"Оятуллоҳ Алии Хоменаӣ асри рӯзи панҷшанбе дар ҷараёни як маросими низомӣ бо интиқод аз сиёсатҳои Омрико алайҳи Эрон гуфт: ""Такрори шеваҳои аблаҳона ва бехосияти сиёсатгузорони дармонда ва парешони ғарбӣ барои Эронҳаросӣ боз ҳам натиҷа нахоҳад дошт ва бори дигар таъми талхи шикастро хоҳанд чашид"," باراک اوباما گفت : "" ما بر این باوریم که حتی اگر در بالاترین سطوح از جزئیات عملیاتی آگاه نبودند ، باز هم هر شخصی که در دولت ایران به چنین فعالیت‌هایی دست می‌زند باید پاسخگو باشد  ."
49,"""Вай афзуда ""режими мустакбири Омрико гирифтори мушкилот ва ботлоқҳое шуда, ки натиҷаи сиёсатҳо ва амалкарди ғалти ин режим аст",""" دیوید کوهن ، از مقام‌های ارشد وزارت خزانه‌داری ایالات متحده ، گفته است که دولت باراک اوباما برای افزایش فشار اقتصادی بر ایران تمام گزینه‌ها از جمله تحریم بین‌المللی بانک مرکزی این کشور را مد نظر دارد  ."
50,"""Ба назар мерасад, ки ин суханон вокунише ба иттиҳомоти ҷадиди Вошингтун алайҳи Эрон бошад, ки тайи он Сипоҳи посдорони Инқилоби Исломӣ муттаҳам ба тарроҳии терури сафири Арабистон дар Вошингтун шудааст", واکنش رهبر ایراناظهارات رئیس جمهور آمریکا ، ساعاتی پس از آن عنوان شد که آیت‌الله علی خامنه‌ای ، رهبر جمهوری اسلامی ایران در تازه ترین سخنان خود گفت پروژه‌های تکراری آمریکایی‌ها علیه ایران شکست خواهد خورد  .
51,"Изҳороти Саъуд АлфайсалСаъуд Алфайсал, вазири хориҷаи арабистони Саъудӣ ҳам, ки барои ширкат дар як конфронси адён дар Утриш ба сар мебурд, нисбат ба иттиҳоми ворида ба Эрон вокуниши расмӣ нишон дода ва гуфта Риёз дар ҳоли баррасии чигунагии посух ба иқдоми Эрон аст"," آیت‌الله علی خامنه‌ای عصر روز پنجشنبه در جریان یک مراسم نظامی با انتقاد از سیاست‌های آمریکا علیه ایران گفت : "" تکرار شیوه‌های ابلهانه و بی‌خاصیت سیاستگذاران درمانده و پریشان غربی برای ایران هراسی ، باز هم نتیجه نخواهد داشت و بار دیگر طعم تلخ شکست را خواهند چشید "" ."
52,Ба гуфтаи вазири хориҷаи Арабистони Саъудӣ Теҳрон бояд посухгӯйи ин ҳаракат бошад," وی افزوده "" رژیم مستکبر آمریکا گرفتار مشکلات و باتلاق‌هایی‌شده‌که نتیجه سیاست‌ها و عمل‌کرد غلط این رژیم است "" ."
53,"Вазири умури хориҷаи Арабистони Саъудӣ давлати Эронро муттаҳам кард, ки барои таслими мухолифони сиёсии худ ба истифода аз хушунат мутавассил шудааст", به نظر می‌رسد که این سخنان واکنشی به اتهامات جدید واشنگتن علیه ایران باشد که طی آن سپاه پاسداران انقلاب اسلامی متهم به طراحی ترور سفیر عربستان در واشنگتن‌شده‌است  .
54,"Вай ин суханонро дар ҷараёни ширкат дар маросими ифтитоҳи маркази гуфтугӯи адён дар Виен, пойтахти Утриш, ба хабарнигорон гуфтааст", اظهارات سعود الفیصلسعود الفیصل ، وزیر خارجه عربستان سعودی هم که برای شرکت در یک کنفرانس ادیان در اتریش به سر می‌برد نسبت به اتهام وارده به ایران واکنش رسمی نشان داده و گفته ریاض در حال بررسی چگونگی پاسخ به اقدام ایران است  .
55,"Ин изҳорот ду рӯз пас аз он матраҳ мешавад, ки Вазорати додгустарии Омрико аз боздошти Мансур Арбоб Сияр як шаҳрванди омрикоии эронитабор хабар дод, ки ба занни тавтеъа барои терури сафири Арабистони Саъудӣ дар Омрико муттаҳам шудааст", به گفته وزیر خارجه عربستان سعودی ، تهران باید پاسخگوی این حرکت باشد  .
56,"Саъуд Алфайсал ҳамчунин гуфт, ки ҳар иқдоме мақомҳои эронӣ алайҳи Арабистони Саъудӣ сурат диҳанд, бо посухи санҷидаи ин кишвар рӯбарӯ хоҳад шуд", وزیر امور خارجه عربستان سعودی ، دولت ایران را متهم کرد که برای تسلیم مخالفان سیاسی خود به استفاده از خشونت متوسل‌شده‌است  .
57,"Пас аз эъломи хунсо шудани ин тавтеъа аз сӯйи Эрон, раҳбарони Омрико ва Арабистони Саъудӣ дар як тамоси телефунӣ бар вокуниши қавӣ ва воҳид барои посухгӯ кардани тарроҳони ин тавтеъа таъкид карданд", وی این سخنان را در جریان شرکت در مراسم افتتاح مرکز گفت‌و‌گوی ادیان در وین پایتخت اتریش به خبرنگاران گفته است  .
58,"Пулиси Тоҷикистон аз кушта шудани чаҳор нафар, ки мегӯяд аъзои Ҷунбиши Исломии Ӯзбакистон будаанд ва боздошти як нафари дигар дар шимоли кишвар хабар дод", این اظهارات دو روز پس از آن مطرح می‌شود که وزارت دادگستری آمریکا از بازداشت منصور ارباب سیر یک شهروند آمریکایی ایرانی تبار خبر داد که به ظن توطئه برای ترور سفیر عربستان سعودی در آمریکا متهم‌شده‌است  .
59,Ин ҳодиса шоми рӯзи якшанбеи 18 октябр дар пайи як амалиёти вижаи нерӯҳои интизомӣ ва марзбонии Тоҷикистон дар маркази ноҳияи Исфараи вилояти Суғд рух додааст, سعود الفیصل همچنین گفت که هر اقدامی که مقام‌های ایرانی علیه عربستان سعودی صورت دهند با پاسخ سنجیده این کشور روبرو خواهد شد  .
60,Ҳамчунин дар маҳалли ҳодиса миқдори зиёди аслиҳа кашф ва мусодира шудааст, پس از اعلام خنثی شدن این توطئه از سوی ایران ، رهبران آمریکا و عربستان سعودی در یک تماس تلفنی بر واکنش قوی و واحد برای پاسخگو کردن طراحان این توطئه تاکید کردند  .
61, Гуфта мешавад дар ин ҳодиса як нафар пулис аз ҷумлаи ОМОН ё гурӯҳи вижаи бахши пулиси вилояти Суғд захмӣ шудааст,"اسکندر فیروزدفتر بی‌بی سی در دوشنبهپلیس تاجیکستان از کشته شدن چهار نفر از "" اعضای جنبش اسلامی ازبکستان "" بوده‌اند و بازداشت یک نفر دیگر در شمال کشور خبر داد  ."
62,"Маҳмадулло Асадуллоев, сухангӯйи Вазорати умури дохилаи Тоҷикистон дар сӯҳбат бо Би-би-сӣ гуфт, ки ба эҳтимоли зиёд “афроди кушташуда ва як нафар, ки боздошт шуд, аз ҷумлаи аъзои гурӯҳе ҳастанд, ки дар ҳафтаи гузашта аз вуруди онҳо ба қаламрави Қирғизистон гузоришҳо пахш шуда буданд", این حادثه شام روز یکشنبه ، 18 اکتبر ، در پی یک عملیات ویژه نیروهای انتظامی و مرزبانی تاجیکستان در مرکز ناحیه اسفره ولایت سغد رخ داده است  .
