id,tajik,farsi
33,"Борок Убомо гуфт: ""Мо бар ин боварем, ки ҳатто агар дар болотарин сутуҳ аз ҷузъиёти амалиётӣ огоҳ набуданд, боз ҳам ҳар шахсе, ки дар давлати Эрон ба чунин фаъолиятҳое даст мезанад, бояд посухгӯ бошад."," باراک اوباما گفت : "" ما بر این باوریم که حتی اگر در بالاترین سطوح از جزئیات عملیاتی آگاه نبودند ، باز هم هر شخصی که در دولت ایران به چنین فعالیت‌هایی دست می‌زند باید پاسخگو باشد  ."
34,"""Девид Куҳен, аз мақомҳои аршади вазорати хазонадории Иёлоти Муттаҳида, гуфтааст, ки давлати Борок Убомо барои афзоиши фишори иқтисодӣ бар Эрон тамоми гузинаҳо, аз ҷумла таҳрими байналмилалии бонки марказии ин кишварро мадди назар дорад.",""" دیوید کوهن ، از مقام‌های ارشد وزارت خزانه‌داری ایالات متحده ، گفته است که دولت باراک اوباما برای افزایش فشار اقتصادی بر ایران تمام گزینه‌ها از جمله تحریم بین‌المللی بانک مرکزی این کشور را مد نظر دارد  ."
35,"Вокуниши раҳбари ЭронИзҳороти раиси ҷумҳури Омрико, соъоте пас аз он унвон шуд, ки Оятуллоҳ Алии Хоменаӣ, раҳбари Ҷумҳурии Исломии Эрон, дар тозатарин суханони худ гуфт пружаҳои такрории омрикоиҳо алайҳи Эрон шикаст хоҳад хӯрд.", واکنش رهبر ایراناظهارات رئیس جمهور آمریکا ، ساعاتی پس از آن عنوان شد که آیت‌الله علی خامنه‌ای ، رهبر جمهوری اسلامی ایران در تازه ترین سخنان خود گفت پروژه‌های تکراری آمریکایی‌ها علیه ایران شکست خواهد خورد  .
36,"Оятуллоҳ Алии Хоменаӣ асри рӯзи панҷшанбе дар ҷараёни як маросими низомӣ бо интиқод аз сиёсатҳои Омрико алайҳи Эрон гуфт: ""Такрори шеваҳои аблаҳона ва бехосияти сиёсатгузорони дармонда ва парешони ғарбӣ барои Эронҳаросӣ боз ҳам натиҷа нахоҳад дошт ва бори дигар таъми талхи шикастро хоҳанд чашид."," آیت‌الله علی خامنه‌ای عصر روز پنجشنبه در جریان یک مراسم نظامی با انتقاد از سیاست‌های آمریکا علیه ایران گفت : "" تکرار شیوه‌های ابلهانه و بی‌خاصیت سیاستگذاران درمانده و پریشان غربی برای ایران هراسی ، باز هم نتیجه نخواهد داشت و بار دیگر طعم تلخ شکست را خواهند چشید "" ."
37,"""Вай афзуда ""режими мустакбири Омрико гирифтори мушкилот ва ботлоқҳое шуда, ки натиҷаи сиёсатҳо ва амалкарди ғалти ин режим аст."," وی افزوده "" رژیم مستکبر آمریکا گرفتار مشکلات و باتلاق‌هایی‌شده‌که نتیجه سیاست‌ها و عمل‌کرد غلط این رژیم است "" ."
38,"""Ба назар мерасад, ки ин суханон вокунише ба иттиҳомоти ҷадиди Вошингтун алайҳи Эрон бошад, ки тайи он Сипоҳи посдорони Инқилоби Исломӣ муттаҳам ба тарроҳии терури сафири Арабистон дар Вошингтун шудааст.", به نظر می‌رسد که این سخنان واکنشی به اتهامات جدید واشنگتن علیه ایران باشد که طی آن سپاه پاسداران انقلاب اسلامی متهم به طراحی ترور سفیر عربستان در واشنگتن‌شده‌است  .
39,"Изҳороти Саъуд АлфайсалСаъуд Алфайсал, вазири хориҷаи арабистони Саъудӣ ҳам, ки барои ширкат дар як конфронси адён дар Утриш ба сар мебурд, нисбат ба иттиҳоми ворида ба Эрон вокуниши расмӣ нишон дода ва гуфта Риёз дар ҳоли баррасии чигунагии посух ба иқдоми Эрон аст.", اظهارات سعود الفیصلسعود الفیصل ، وزیر خارجه عربستان سعودی هم که برای شرکت در یک کنفرانس ادیان در اتریش به سر می‌برد نسبت به اتهام وارده به ایران واکنش رسمی نشان داده و گفته ریاض در حال بررسی چگونگی پاسخ به اقدام ایران است  .
40,Ба гуфтаи вазири хориҷаи Арабистони Саъудӣ Теҳрон бояд посухгӯйи ин ҳаракат бошад., به گفته وزیر خارجه عربستان سعودی ، تهران باید پاسخگوی این حرکت باشد  .
41,"Вазири умури хориҷаи Арабистони Саъудӣ давлати Эронро муттаҳам кард, ки барои таслими мухолифони сиёсии худ ба истифода аз хушунат мутавассил шудааст.", وزیر امور خارجه عربستان سعودی ، دولت ایران را متهم کرد که برای تسلیم مخالفان سیاسی خود به استفاده از خشونت متوسل‌شده‌است  .
42,"Вай ин суханонро дар ҷараёни ширкат дар маросими ифтитоҳи маркази гуфтугӯи адён дар Виен, пойтахти Утриш, ба хабарнигорон гуфтааст.", وی این سخنان را در جریان شرکت در مراسم افتتاح مرکز گفت‌و‌گوی ادیان در وین پایتخت اتریش به خبرنگاران گفته است  .
43,"Ин изҳорот ду рӯз пас аз он матраҳ мешавад, ки Вазорати додгустарии Омрико аз боздошти Мансур Арбоб Сияр як шаҳрванди омрикоии эронитабор хабар дод, ки ба занни тавтеъа барои терури сафири Арабистони Саъудӣ дар Омрико муттаҳам шудааст.", این اظهارات دو روز پس از آن مطرح می‌شود که وزارت دادگستری آمریکا از بازداشت منصور ارباب سیر یک شهروند آمریکایی ایرانی تبار خبر داد که به ظن توطئه برای ترور سفیر عربستان سعودی در آمریکا متهم‌شده‌است  .
44,"Саъуд Алфайсал ҳамчунин гуфт, ки ҳар иқдоме мақомҳои эронӣ алайҳи Арабистони Саъудӣ сурат диҳанд, бо посухи санҷидаи ин кишвар рӯбарӯ хоҳад шуд.", سعود الفیصل همچنین گفت که هر اقدامی که مقام‌های ایرانی علیه عربستان سعودی صورت دهند با پاسخ سنجیده این کشور روبرو خواهد شد  .
45,"Пас аз эъломи хунсо шудани ин тавтеъа аз сӯйи Эрон, раҳбарони Омрико ва Арабистони Саъудӣ дар як тамоси телефунӣ бар вокуниши қавӣ ва воҳид барои посухгӯ кардани тарроҳони ин тавтеъа таъкид карданд.", پس از اعلام خنثی شدن این توطئه از سوی ایران ، رهبران آمریکا و عربستان سعودی در یک تماس تلفنی بر واکنش قوی و واحد برای پاسخگو کردن طراحان این توطئه تاکید کردند  .
46,"Пулиси Тоҷикистон аз кушта шудани чаҳор нафар, ки мегӯяд аъзои Ҷунбиши Исломии Ӯзбакистон будаанд ва боздошти як нафари дигар дар шимоли кишвар хабар дод.", این حادثه شام روز یکشنبه ، 18 اکتبر ، در پی یک عملیات ویژه نیروهای انتظامی و مرزبانی تاجیکستان در مرکز ناحیه اسفره ولایت سغد رخ داده است  .
47,Ҳамчунин дар маҳалли ҳодиса миқдори зиёди аслиҳа кашф ва мусодира шудааст., همچنین در محل حادثه مقدار زیاد اسلحه کشف و مصادره‌شده‌است  .
48,"Маҳмадулло Асадуллоев, сухангӯйи Вазорати умури дохилаи Тоҷикистон дар сӯҳбат бо Би-би-сӣ гуфт, ки ба эҳтимоли зиёд “афроди кушташуда ва як нафар, ки боздошт шуд, аз ҷумлаи аъзои гурӯҳе ҳастанд, ки дар ҳафтаи гузашта аз вуруди онҳо ба қаламрави Қирғизистон гузоришҳо пахш шуда буданд."," محمدالله اسدالله یف ، سخنگوی وزارت امور داخله تاجیکستان در صحبت با بی‌بی سی گفت که به احتمال زیاد "" افراد کشته‌شده‌و یک نفری که بازداشت شد ، از جمله اعضای گروهی هستند که در هفته گذشته از ورود آن‌ها به قلمرو قرقیزستان گزارشهایی پخش شده‌بودند  ."
49,"”Оқои Асадуллоев афзуд, ки зимни боздошт ин афрод ""бо истифода аз силоҳ муқовимат карданд ва маъмурони интизомӣ ночор буданд алайҳи онҳо низ аз силоҳ истифода кунанд.",""" آقای اسدالله یف افزود که ضمن بازداشت این افراد "" با استفاده از سلاح مقاومت کردن و ماموران انتظامی ناچار‌بودند علیه آن‌ها نیز از سلاح استفاده کنند  ."
50, Вай афзуд: “Ҳоло маъмурони интизомӣ ва амниятӣ машғули таҳқиқи ин ҳодиса ва асомии афроди кушташуда ҳастанд.," وی افزود : "" حالا ماموران انتظامی و امنیتی مشغول تحقیق این حادثه و اسامی افراد کشته‌شده‌هستند  ."
51,"”Манобеъи пулиси Тоҷикистон аъзои ин гурӯҳро дар қатли Саидумар Саидов, раиси бахши кофтукови ҷиноии пулиси ноҳияи Исфара, ки дар авосити моҳи сентябр рух дод, мазнун медонанд.",""" منابع پلیس تاجیکستان اعضای این گروهها را در قتل سعید عمر سعیدف ، رئیس بخش جستجوی جنایی پلیس ناحیه اسفره که در اواسط ماه سپتامبر رخ داد ، مظنون می‌دانند  ."
52," Қаблан пулиси Тоҷикистон эълом карда буд, ки асомии афроди мазнун дар ин ҳодисаро дар ихтиёр дорад.", قبلا پلیس تاجیکستان اعلام کرده‌بود که اسامی افراد مظنون در این حادثه را در اختیار دارد  .
53,"Ин дар ҳолест, ки манобеъи нерӯҳои марзбонии Қирғизистон иддаъо доштанд, ки рӯзи 14 октябр як гурӯҳи даҳнафарии мусаллаҳ аз марзи Тоҷикистон убур карда, ба сӯйи посгоҳи марзии  мавсум ба Кӯктоши Қирғизистон гулула шилик карданд.", این در حالیست که منابع نیروهای مرزبانی قرقیزستان ادعا داشتند که روز 14 اکتبر یک گروه ده نفری مسلح از مرز تاجیکستان عبور کرده به سوی پاسگاه موسوم به کوکتاش قرقیزستان گلوله شلیک کردند  .
54,"Гуфта мешуд, ки ин афрод дар пайи таъқиби нерӯҳои интизомии Тоҷикистон вориди қаламрави Қирғизистон шуданд ва “ин гурӯҳи ҷинойие буда ва ба ҳаракат ва ё ҷунбишҳои исломие рабт надорад.", گفته می‌شد که این افراد در پی تعقیب نیروهای انتظامی تاجیکستان وارد قلمرو قرقیزستان شدند و یک گروه جنایی بوده و به حرکت و یا جنبشهای اسلامی ربط ندارد  .
55,"”Вале, Раёсати нерӯҳои марзбонии Кумитаи давлати амнияти миллии Тоҷикистон рӯзи шанбеи 17 октябр бо пахши як баёния изҳор дошт, ки “ҳеч як мавриди убур аз марз миёни Тоҷикистон ва Қирғизистон мушоҳида нашудааст."," ولی ریاست نیروهای مرزبانی کمیته دولت امنیت ملی تاجیکستان روز شنبه ، 17 اکتبر ، با پخش یک بیانیه اظهار داشت که "" هیج یک مورد عبور از مرز میان تاجیکستان و قرقیزستان مشاهده‌نشده‌است  ."
56,"”Бо ин вуҷуд, масъулони нерӯҳои марзбонии Тоҷикистон изҳор дошта буданд, ки “барои мушаххас кардани ин ҳодиса бо ҳамтоёни қирғизи худ ба табодули итилоъот пардохтаанд.",""" با این وجود ، مسئولان نیروهای مرزبانی تاجیکستان اظهار داشته‌بودند که "" برای مشخص کردن این حادثه با همتایان قرقیز خود به تبادل اطلاعات پرداخته‌اند  ."
57,"”Рӯзи якшанбеи 18 октябр нерӯҳои марзбонии Қирғизистон хабар доданд, ки ин гурӯҳ вориди деҳаи Ворухи ноҳияи Исфара шудаст.",""" روز یکشنبه 18 اکتبر نیروهای مرزبانی قرقیزستان خبر دادند که این گروه وارد روستای وارخ ناحیه اسفره‌شده‌است  ."
58," Ҳамчунин, гуфта мешуд, ки чун ин деҳа бахше аз қаламрави Тоҷикистон маҳсуб мешавад, онҳо наметавонанд барои боздошти ин гурӯҳ ба ин русто ворид шаванд.", همچنین ، گفته می‌شد که چون این روستا بخشی از قلمرو تاجیکستان محسوب می‌شود ، آن‌ها نمی‌توانند برای بازداشت این گروه به این روستا وارد شوند  .
59,"Вале, эълом шуда буд, ки нерӯҳои марзбонии Қирғизистон дар атрофи ин русто ҳастанд ва роҳҳои фирори ин гурӯҳро таҳти назорати худ қарор додаанд.", ولی اعلام شده‌بود که نیروهای مرزبانی قرقیزستان در اطراف این روستا هستند و راههای فرار این گروه را تحت نظارت خود قرار داده‌اند  .
60," Ҳамчунин, гузориш шуда буд, ки дар робита бо ин ҳодиса Ӯзбакистон, Қирғизистон ва Тоҷикистон муроқибат аз марзҳои худ дар ин минтақаро тақвият додаанд.", همچنین گزارش شده‌بود که در رابطه با این حادثه ازبکستان ، قرقیزستان و تاجیکستان مراقبت از مرزهای خود در این منطقه را تقویت داده‌اند  .
61,"Ҳамакнун рӯшан шуда, ки алорағми изҳороти нерӯҳои марзбонии Тоҷикистон, нерӯҳои интизомӣ ва амниятии ин кишвар дар бораи ин гурӯҳ иттилоъ дошта ва машғули тадобири боздошти онҳо будаанд.", هم اکنون روشن‌شده‌که علیرغم اظهارات نیروهای مرزبانی تاجیکستان ، نیروهای انتظامی و امنیتی این کشور در باره این گروه اطلاع داشته و مشغول تدابیر بازداشت آن‌ها‌بودند  .
62,"Ба ин далел, ҳадс зада мешавад, ки мумкин аст изҳороти ахири нерӯҳои марзбонии Тоҷикистон дар ин робита ба хотири гумроҳ сохтани аъзои ин гурӯҳ сурат гирифта бошад.", به این دلیل حدس زده می‌شود که ممکن است اظهارات اخیر نیروهای مرزبانی تاجیکستان در این رابطه به خاطر گمراه ساختن اعضای این گروه صورت گرفته باشد  .
63,"Зимнан, ноҳияи Исфара аз манотиқе дар шимоли Тоҷикистон маҳсуб мешавад, ки нуфузи исломгароён он ҷо бештар маҳсус аст.", ضمنا ، ناحیه اسفره از مناطقی در شمال تاجیکستان محسوب می‌شود که نفوذ اسلامگرایان آنجا بیشتر محسوس است  .
64," Теъдоди бештари афроде, ки ба иттиҳоми узвият дар ҶИӮ ва “Байъат” дар Тоҷикистон боздошт ва зиндонӣ шуданд, аз ҷумлаи сокинони ин минтақа ҳастанд."," تعداد بیشتر افرادی که به اتهام عضویت در جنبش اسلامی ازبکستان و "" بیعت "" در تاجیکستان بازداشت و زندانی شدند ، از جمله ساکنان این منطقه هستند  ."
65,"Манобеъи расмӣ мегӯянд, ки аз соли 1997 ба ин сӯ узвияти 84 нафар сокини ин ноҳия дар ҶИӮ ошкор шуда ва беш аз 40 нафари онҳо боздошт ва муҷозот шудаанд.", منابع رسمی می‌گویند که از سال 1997 به این سو عضویت 84 نفر ساکن این ناحیه در جنبش اسلامی ازبکستان آشکار‌شده‌و بیش از 40 نفر آن‌ها بازداشت و مجازات شده‌اند  .
66,"  Анвар Қаюмов, раҳбари ин гурӯҳ, ба ҳабси абад маҳкум шуд.", انور قیومف ، رهبر این گروه ، به حبس ابد محکوم شد  .
67,"Ҷунбиши Исломии Ӯзбакистонро кишварҳои минтақа ва Омрико як гурӯҳи терруристӣ медонанд, ки бо Толибон ва созмони Алқоъида рабт дорад.", دولتهای منطقه و آمریکا جنبش اسلامی ازبکستان را یک سازمان تروریستی می‌دانند که با طالبان و القاعده ارتباط دارد  .
68,"Кумисиюни интихоботи Афғонистон эълом кард, ки даври дувуми раёсати ҷумҳурии ин кишвар ҳафтуми ноябр баргузор мешавад.",کمیسیون انتخابات افغانستان اعلام کرد که دور دوم انتخابات ریاست جمهوری این کشور هفتم نوامبر برگزار می‌شود  .
69,"Оқои Карзай таъкид карда, ки барпойии даври дувуми интихобот, ба таҳкими демукросӣ ва мардумсолорӣ дар Афғонистон кумак мекунад.", آقای کرزی تاکید کرده که برپایی دور دوم انتخابات ، به تحکیم دموکراسی و مردم سالاری در افغانستان کمک می‌کند  .
